time,horizontal_distance,horizontal_distance_detrended,vertical_distance,vertical_distance_detrended
2025-10-04-08-20-22,70.474,-3.5145527638190828,12.426467638448361,-0.6197104773848103
2025-10-04-08-20-23,72.144,-1.844552763819081,12.720933696231498,-0.32524441960167394
2025-10-04-08-20-24,73.81400000000001,-0.17455276381907936,13.015399754014634,-0.030778361818537547
2025-10-04-08-20-25,74.816,0.827447236180916,13.192079388684515,0.14590127285134358
2025-10-04-08-20-26,75.31700000000001,1.3284472361809208,13.280419206019458,0.23424109018628592
2025-10-04-08-20-27,75.65100000000001,1.662447236180924,13.339312417576085,0.29313430174291355
2025-10-04-08-20-28,74.816,0.827447236180916,13.192079388684515,0.14590127285134358
2025-10-04-08-20-29,76.319,2.330447236180916,13.457098840689339,0.41092072485616704
2025-10-04-08-20-30,77.15400000000001,3.165447236180924,13.604331869580909,0.558153753747737
2025-10-04-08-20-31,76.653,2.6644472361809193,13.515992052245966,0.4698139364127947
2025-10-04-08-20-32,75.985,1.996447236180913,13.398205629132711,0.3520275132995394
2025-10-04-08-20-33,70.14,-3.848552763819086,12.367574426891734,-0.678603688941438
2025-10-04-08-20-34,70.307,-3.6815527638190844,12.397021032670047,-0.649157083163125
2025-10-04-08-20-35,70.97500000000001,-3.013552763819078,12.514807455783304,-0.531370660049868
2025-10-04-08-20-36,71.977,-2.0115527638190827,12.691487090453185,-0.35469102537998687
2025-10-04-08-20-37,72.47800000000001,-1.5105527638190779,12.779826907788125,-0.2663512080450463
2025-10-04-08-20-38,73.313,-0.6755527638190841,12.927059936679694,-0.11911817915347811
2025-10-04-08-20-39,73.48,-0.5085527638190825,12.956506542458007,-0.08967157337516518
2025-10-04-08-20-40,73.647,-0.34155276381908095,12.985953148236321,-0.060224967596850476
2025-10-04-08-20-41,73.313,-0.6755527638190841,12.927059936679694,-0.11911817915347811
2025-10-04-08-20-42,70.808,-3.1805527638190796,12.485360850004989,-0.5608172658281827
2025-10-04-08-20-43,68.47,-5.518552763819088,12.073108369108597,-0.9730697467245744
2025-10-04-08-20-44,72.144,-1.844552763819081,12.720933696231498,-0.32524441960167394
2025-10-04-08-20-45,72.47800000000001,-1.5105527638190779,12.779826907788125,-0.2663512080450463
2025-10-04-08-20-46,74.14800000000001,0.15944723618092382,13.074292965571264,0.028114849738091863
2025-10-04-08-20-47,76.319,2.330447236180916,13.457098840689339,0.41092072485616704
2025-10-04-08-20-48,76.82000000000001,2.831447236180921,13.545438658024281,0.4992605421911094
2025-10-04-08-20-49,76.98700000000001,2.9984472361809225,13.574885263802594,0.5287071479694223
2025-10-04-08-20-50,76.98700000000001,2.9984472361809225,13.574885263802594,0.5287071479694223
2025-10-04-08-20-51,77.15400000000001,3.165447236180924,13.604331869580909,0.558153753747737
2025-10-04-08-20-52,74.482,0.4934472361809128,13.133186177127888,0.08700806129471594
2025-10-04-08-20-53,68.804,-5.1845527638190845,12.132001580665225,-0.9141765351679467
2025-10-04-08-20-54,69.63900000000001,-4.3495527638190765,12.279234609556795,-0.7669435062763768
2025-10-04-08-20-55,71.476,-2.5125527638190874,12.603147273118243,-0.4430308427149292
2025-10-04-08-20-56,72.979,-1.0095527638190873,12.868166725123066,-0.17801139071010574
