x,y,z
453822.7942348965,6072038.4753163215,0.44
453822.89013628697,6072039.37970792,0.44
453822.6045109567,6072040.263997223,0.44
453822.4610807453,6072041.18805243,0.44
453822.27132607735,6072041.993205096,0.44
453822.2526687594,6072042.850105346,0.44
453822.2306154753,6072043.705597768,0.44
453822.0013736396,6072044.5609437935,0.44
453821.80822865665,6072045.367499493,0.44
453821.60502109444,6072046.178219447,0.44
453821.4384348091,6072047.111857463,0.44
453821.4385242022,6072048.114592388,0.44
453821.27193791687,6072049.048230404,0.44
453821.2339025405,6072050.035160362,0.44
453821.1054410246,6072050.984603345,0.44
453820.93885473924,6072051.918241361,0.44
453820.93894413236,6072052.920976287,0.44
453820.772357847,6072053.8546143025,0.44
453820.6057715617,6072054.788252318,0.44
453820.43918527634,6072055.721890334,0.44
453820.39566325676,6072056.706545754,0.44
453820.2726883841,6072057.658263275,0.44
453820.1061020988,6072058.591901291,0.44
453820.1061914919,6072059.594636217,0.44
453819.93960520654,6072060.5282742325,0.44
453819.9396945996,6072061.531009159,0.44
453819.77310831426,6072062.464647174,0.44
453819.77307383297,6072063.32926769,0.44
453819.6065991134,6072064.262951956,0.44
453819.44001282804,6072065.196589972,0.44
453819.2958737513,6072066.139533681,0.44
453819.2735159358,6072067.132962913,0.44
453819.1069296505,6072068.066600929,0.44
453818.94034336513,6072069.000238945,0.44
453818.94043275825,6072070.002973871,0.44
453818.7738464729,6072070.936611887,0.44
453818.77393586596,6072071.939346813,0.44
453818.6073495806,6072072.872984828,0.44
453818.60743897373,6072073.875719754,0.44
453818.4408526884,6072074.80935777,0.44
453818.44094208145,6072075.812092695,0.44
453818.27435579617,6072076.745730711,0.44
453818.2744451892,6072077.748465637,0.44
453818.2745345823,6072078.751200562,0.44
453818.2746239754,6072079.753935489,0.44
453818.10803769005,6072080.687573505,0.44
453818.1081270831,6072081.69030843,0.44
453818.1082164762,6072082.693043356,0.44
453817.9416301909,6072083.626681372,0.44
453817.94171958393,6072084.629416297,0.44
453817.94180897705,6072085.632151223,0.44
453817.8427479681,6072086.593782453,0.44
453817.77531208476,6072087.568524165,0.44
453817.7754014779,6072088.571259091,0.44
453817.77549087093,6072089.573994016,0.44
453817.775580264,6072090.576728942,0.44
453817.7756696571,6072091.5794638675,0.44
453817.60908337176,6072092.513101883,0.44
453817.6091727649,6072093.51583681,0.44
453817.60926215793,6072094.518571735,0.44
453817.5906944651,6072095.513572197,0.44
453817.44276526564,6072096.454944677,0.44
453817.44285465876,6072097.457679602,0.44
453817.2762683734,6072098.391317618,0.44
453817.27635776653,6072099.394052544,0.44
453817.1097714812,6072100.327690559,0.44
453817.10986087425,6072101.330425486,0.44
453816.9432745889,6072102.264063502,0.44
453816.943363982,6072103.266798427,0.44
453816.7767776967,6072104.200436443,0.44
453816.6291191226,6072105.141921112,0.44
453816.71102303884,6072106.095118653,0.44
453816.4436822104,6072106.932379241,0.44
453816.2770836164,6072107.727949098,0.44
453816.2771607008,6072108.592615863,0.44
453816.2513159326,6072109.468010018,0.44
453816.1106514999,6072110.3909206465,0.44
453815.94406521454,6072111.324558662,0.44
453815.94415460766,6072112.327293588,0.44
453815.94632089755,6072113.329169019,0.44
453815.9443210852,6072114.19469528,0.44
453815.9444104782,6072115.1974302055,0.44
453815.8748732049,6072116.090905877,0.44
453815.6585601361,6072116.946261038,0.44
453815.61130268325,6072117.791304844,0.44
453815.44471639796,6072118.72494286,0.44
453815.2781301126,6072119.658580876,0.44
453815.041352097,6072120.563120275,0.44
453814.90134413907,6072121.36971352,0.44
453814.643381507,6072122.127407588,0.44
453814.5033735489,6072122.934000833,0.44
453814.3114816114,6072123.691741586,0.44
453814.23609502346,6072124.44956466,0.44
453813.9451355121,6072125.15841958,0.44
